Kota/Kabupaten;Tahun;IPM;AHH;HLS;RLS;PPRD;SMA;AMH
Kota Madiun;2020;80,91;72,81;14,4;11,14;16018;;
Kota Surabaya;2020;82,23;74,18;14,8;10,49;17755;;
Kota Batu;2020;75,9;72,61;14,13;9,07;12824;;
Kabupaten Pacitan;2021;68,57;72,07;12,65;7,61;8887;;
Kabupaten Ponorogo;2021;71,06;72,85;13,74;7,55;9851;;
Kabupaten Trenggalek;2021;70,06;73,86;12,47;7,56;9743;;
Kabupaten Tulungagung;2021;73,15;74,16;13,32;8,34;10807;;
Kabupaten Blitar;2021;71,05;73,61;12,63;7,5;10757;;
Kabupaten Kediri;2021;72,56;72,65;13,44;8,08;11127;;
Kabupaten Malang;2021;70,6;72,61;13,24;7,43;10163;;
Kabupaten Lumajang;2021;66,07;70,21;11,88;6,67;9203;;
Kabupaten Jember;2021;67,32;69,28;13,43;6,49;9410;;
Kabupaten Banyuwangi;2021;71,38;70,72;13,1;7,42;12217;;
Kabupaten Bondowoso;2021;66,59;66,89;13,29;5,94;10690;;
Kabupaten Situbondo;2021;67,78;69,24;13,16;6,62;9996;;
Kabupaten Probolinggo;2021;66,26;67,36;12,36;6,12;10969;;
Kabupaten Pasuruan;2021;68,93;70,25;12,58;7,41;10297;;
Kabupaten Sidoarjo;2021;80,65;74,06;14,94;10,72;14578;;
Kabupaten Mojokerto;2021;74,15;72,59;12,95;8,64;12844;;
Kabupaten Jombang;2021;73,45;72,49;13,57;8,55;11394;;
Kabupaten Nganjuk;2021;71,97;71,6;12,87;7,78;12172;;
Kabupaten Madiun;2021;71,88;71,5;13,17;7,82;11658;;
Kabupaten Magetan;2021;74,15;72,65;14,04;8,36;11833;;
Kabupaten Ngawi;2021;71,04;72,41;12,83;7,26;11459;;
Kabupaten Bojonegoro;2021;69,59;71,72;12,68;7,38;10221;;
Kabupaten Tuban;2021;68,91;71,56;12,22;7,18;10380;;
Kabupaten Lamongan;2021;73,12;72,49;13,77;8,04;11510;;
Kabupaten Gresik;2021;76,5;72,67;13,77;9,56;13280;;
Kabupaten Bangkalan;2021;64,36;70,22;11,73;5,96;8673;;
Kabupaten Sampang;2021;62,8;68,07;12,38;4,86;8790;;
Kabupaten Pamekasan;2021;66,4;67,67;13,65;6,7;8804;;
Kabupaten Sumenep;2021;67,04;71,56;13,33;5,92;9000;;
Kota Kediri;2021;78,6;74,04;15,27;10,15;12359;;
Kota Blitar;2021;78,98;73,86;14,33;10,35;13816;;
Kota Malang;2021;82,04;73,36;15,75;10,41;16663;;
Kota Probolinggo;2021;73,66;70,35;13,6;8,95;12245;;
Kota Pasuruan;2021;75,62;71,6;13,63;9,33;13354;;
Kota Mojokerto;2021;78,43;73,39;14,01;10,47;13610;;
Kota Madiun;2021;81,25;72,83;14,41;11,37;16095;;
Kota Surabaya;2021;82,31;74,18;14,81;10,5;17862;;
Kota Batu;2021;76,28;72,65;14,16;9,31;12887;;
Kabupaten Pacitan;2022;69,37;72,48;12,66;7,82;9184;14,951;92,12
Kabupaten Ponorogo;2022;71,87;73,2;13,76;7,77;10199;27,994;87,84
Kabupaten Trenggalek;2022;71;74,26;12,5;7,89;10042;21,448;94,27
Kabupaten Tulungagung;2022;74,06;74,54;13,33;8,65;11162;38,254;96,05
Kabupaten Blitar;2022;71,86;73,98;12,64;7,82;11001;25,256;93,78
Kabupaten Kediri;2022;73,46;72,97;13,61;8,23;11565;41,042;94,28
Kabupaten Malang;2022;71,38;72,95;13,38;7,68;10326;78,182;94,89
Kabupaten Lumajang;2022;66,95;70,61;12,02;6,87;9466;25,001;94,1
Kabupaten Jember;2022;67,97;69,68;13,44;6,5;9840;72,471;86,35
Kabupaten Banyuwangi;2022;71,94;71,06;13,11;7,66;12320;57,049;90,83
Kabupaten Bondowoso;2022;67,31;67,29;13,31;6,22;10851;19,755;80,21
Kabupaten Situbondo;2022;68,25;69,62;13,18;6,63;10263;23,419;83,85
Kabupaten Probolinggo;2022;66,96;67,78;12,58;6,13;11254;27,656;85,41
Kabupaten Pasuruan;2022;69,68;70,55;12,76;7,42;10726;42,822;93,54
Kabupaten Sidoarjo;2022;81,02;74,36;14,95;10,77;14808;74,696;99,07
Kabupaten Mojokerto;2022;74,89;72,93;12,96;8,97;13051;38,515;95,25
Kabupaten Jombang;2022;74,05;72,86;13,58;8,76;11579;48,717;95,98
Kabupaten Nganjuk;2022;72,93;71,95;13,07;8,12;12349;39,178;92,49
Kabupaten Madiun;2022;72,39;71,9;13,18;7,94;11848;20,693;90,73
Kabupaten Magetan;2022;74,85;72,97;14,05;8,66;12031;21,3;93,25
Kabupaten Ngawi;2022;71,75;72,81;12,84;7,59;11563;26,809;90,66
Kabupaten Bojonegoro;2022;70,12;72,16;12,84;7,43;10323;40,676;92,52
Kabupaten Tuban;2022;69,67;71,97;12,24;7,37;10703;30,681;88,28
Kabupaten Lamongan;2022;74,02;72,86;14,01;8,33;11648;39,131;94,52
Kabupaten Gresik;2022;77,16;72,99;13,96;9,75;13384;41,793;97,2
Kabupaten Bangkalan;2022;65,05;70,54;11,91;5,97;8971;32,261;88,34
Kabupaten Sampang;2022;63,39;68,38;12,39;5,06;8944;22,414;81,24
Kabupaten Pamekasan;2022;66,99;68,03;13,67;6,88;8967;27,753;89,24
Kabupaten Sumenep;2022;67,87;71,99;13,51;5,93;9388;21,59;85,26
Kota Kediri;2022;79,59;74,34;15,44;10,45;12762;27,156;97,82
Kota Blitar;2022;79,93;74,26;14,56;10,65;14058;15,918;98,5
Kota Malang;2022;82,71;73,75;15,76;10,69;16897;52,873;98,38
Kota Probolinggo;2022;74,56;70,68;13,67;9,29;12571;12,608;95,15
Kota Pasuruan;2022;76,54;71,96;13,64;9,67;13803;10,567;98,03
Kota Mojokerto;2022;79,32;73,74;14,02;10,8;14054;10,473;98,38
Kota Madiun;2022;82,01;73,13;14,43;11,67;16503;14,194;99,04
Kota Surabaya;2022;82,74;74,47;14,83;10,51;18345;115,644;98,95
Kota Batu;2022;77,22;72,97;14,4;9,63;13094;9,463;98,51
